nume,pret,sortimente,Date,RobotName,RobotVersion
Banane,4.29 Lei/kilogram,Fructe,20171101,cora,v1
Lamai kg,5.99 Lei/kilogram,Fructe,20171101,cora,v1
Mere Golden,3.79 2.79 Lei/kilogram,Fructe,20171101,cora,v1
Banane Dole,6.99 Lei/kilogram,Fructe,20171101,cora,v1
Mere Royal Gala,3.99 2.99 Lei/kilogram,Fructe,20171101,cora,v1
Struguri albi,6.99 Lei/kilogram,Fructe,20171101,cora,v1
Portocale,6.99 Lei/kilogram,Fructe,20171101,cora,v1
Struguri negri,4.99 Lei/kilogram,Fructe,20171101,cora,v1
Lamai plasa 500g,4.29 3.99 Lei/buc 7.98 kilogram,Fructe,20171101,cora,v1
Pere Conference,4.99 3.99 Lei/kilogram,Fructe,20171101,cora,v1
Mere Pinova la kg,3.99 Lei/kilogram,Fructe,20171101,cora,v1
Grapefruit rosu,6.29 Lei/kilogram,Fructe,20171101,cora,v1
Kiwi / vrac,6.49 5.99 Lei/kilogram,Fructe,20171101,cora,v1
Pomelo,5.99 5.49 Lei/kilogram,Fructe,20171101,cora,v1
Caise Romania,6.29 Lei/kilogram,Fructe,20171101,cora,v1
Rodii,8.99 6.99 Lei/kilogram,Fructe,20171101,cora,v1
Avocado / bucata,5.99 Lei/buc,Fructe,20171101,cora,v1
Mandarine kg,4.99 3.79 Lei/kilogram,Fructe,20171101,cora,v1
Prune,4.99 Lei/kilogram,Fructe,20171101,cora,v1
Mere Jonagored,3.99 Lei/kilogram,Fructe,20171101,cora,v1
Struguri albi fara samburi,8.99 Lei/kilogram,Fructe,20171101,cora,v1
Mango / bucata,3.79 3.59 Lei/buc,Fructe,20171101,cora,v1
Ananas,5.99 4.49 Lei/kilogram,Fructe,20171101,cora,v1
Pere Abate,7.49 6.99 Lei/kilogram,Fructe,20171101,cora,v1
Struguri roze,7.49 Lei/kilogram,Fructe,20171101,cora,v1
Clementine,8.49 7.99 Lei/kilogram,Fructe,20171101,cora,v1
