nume,pret,pret_um,cod_produs,Categorii_produse,Date,RobotName,RobotVersion
Ulei de floarea soarelui 1l Bunica,596 Lei/buc,596 Lei/l,34096,Ulei,20171101,m_image.js,v1
Ulei de floarea soarelui 2l Bunica,1239 Lei/buc,620 Lei/l,97636,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin 1l Costa d'Oro,4086 Lei/buc,4086 Lei/l,4526,Ulei,20171101,m_image.js,v1
Ulei de floarea soarelui 1l Floriol,599 Lei/buc,599 Lei/l,88505,Ulei,20171101,m_image.js,v1
Ulei de floarea soarelui 2l Floriol,1259 Lei/buc,629 Lei/l,70893,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin 1l Close to the Greek Nature,3999 Lei/buc,3999 Lei/l,41700,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin 3l Terra Creta,9999 Lei/buc,3333 Lei/l,3379,Ulei,20171101,m_image.js,v1
Ulei de floarea soarelui 1l Unisol,569 Lei/buc,569 Lei/l,72716,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin 500ml Costa d'Oro,2209 Lei/buc,4418 Lei/l,4529,Ulei,20171101,m_image.js,v1
Ulei de masline Extravirgin 1l Terra Creta,3999 Lei/buc,3999 Lei/l,3375,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin kalamata 500ml Minerva,2694 Lei/buc,5388 Lei/l,11992,Ulei,20171101,m_image.js,v1
Ulei de masline extra virgin 500ml Pietro Coricelli,2762 Lei/buc,5524 Lei/l,29637,Ulei,20171101,m_image.js,v1
Ulei de floarea soarelui presat la rece 1l De la Luna,1399 Lei/buc,1399 Lei/l,15543,Ulei,20171101,m_image.js,v1
Ulei de floarea soarelui 1l Spornic,519 Lei/buc,519 Lei/l,70720,Ulei,20171101,m_image.js,v1
Ulei de floarea soarelui 2l Unisol,1243 Lei/buc,621 Lei/l,6062,Ulei,20171101,m_image.js,v1
Ulei de floarea soarelui Clasic 2l Spornic,1099 Lei/buc,550 Lei/l,10446,Ulei,20171101,m_image.js,v1
Ulei de rapita cu omega 3 1l Bunica,627 Lei/buc,627 Lei/l,6888,Ulei,20171101,m_image.js,v1
Ulei de masline Extravirgin 500ml Spartans,2199 Lei/buc,4398 Lei/l,26345,Ulei,20171101,m_image.js,v1
Ulei din samburi de struguri 500ml Costa d'Oro,1649 Lei/buc,3298 Lei/l,7727,Ulei,20171101,m_image.js,v1
Ulei de floarea soarelui mediteranean 1l Floriol,920 Lei/buc,920 Lei/l,35658,Ulei,20171101,m_image.js,v1
Ulei de masline extra virgin 1l 365,2999 Lei/buc,2999 Lei/l,10774,Ulei,20171101,m_image.js,v1
Ulei de floarea soarelui pentru prajit 1l Bunica,683 Lei/buc,683 Lei/l,74401,Ulei,20171101,m_image.js,v1
Ulei din turte de masline 1l Pietro Coricelli,3391 Lei/buc,3391 Lei/l,31446,Ulei,20171101,m_image.js,v1
Ulei de canepa 250ml Gusturi romanesti,3299 Lei/buc,13196 Lei/l,3187,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin bio 500ml Gaea,3499 Lei/buc,6998 Lei/l,9160,Ulei,20171101,m_image.js,v1
Ulei de floroarea soarelui 1l Ulvex,609 Lei/buc,609 Lei/l,4552,Ulei,20171101,m_image.js,v1
Ulei masline extra virgin 1l Pietro Coricelli,4014 Lei/buc,4014 Lei/l,69584,Ulei,20171101,m_image.js,v1
Ulei de masline extra virgin 1l Mazza,3999 Lei/buc,3999 Lei/l,16721,Ulei,20171101,m_image.js,v1
Ulei de porumb 1l 365,999 Lei/buc,999 Lei/l,87829,Ulei,20171101,m_image.js,v1
Ulei de dovleac 250ml Gusturi romanesti,3499 Lei/buc,13996 Lei/l,7574,Ulei,20171101,m_image.js,v1
Ulei de masline spray cu filtru UV 200ml AB,1899 Lei/buc,9495 Lei/l,11510,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin 500ml Iliada,3199 Lei/buc,6398 Lei/l,18249,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin grecesc 100% 750ml Delhaize,3099 Lei/buc,4132 Lei/l,76094,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin mediteranean 1l Colavita,4999 Lei/buc,4999 Lei/l,15159,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin special selection 750ml Ol'eve,3499 Lei/buc,4665 Lei/l,4256,Ulei,20171101,m_image.js,v1
Ulei de floarea soarelui 1l Raza Soarelui,589 Lei/buc,589 Lei/l,89383,Ulei,20171101,m_image.js,v1
Amestec de ulei vegetal Vitapiu Olisana 0.5l Costa d'Oro,2303 Lei/buc,4606 Lei/l,71764,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin cu usturoi 200ml Taste of Inspirations,1899 Lei/buc,9495 Lei/l,43443,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin cu busuioc 200ml Taste of Inspirations,1999 Lei/buc,9995 Lei/l,43442,Ulei,20171101,m_image.js,v1
Ulei de floarea soarelui 500ml Gusturi romanesti,1299 Lei/buc,2598 Lei/l,97597,Ulei,20171101,m_image.js,v1
Ulei de floarea soarelui premium 100% high oleic 1l Spornic,669 Lei/buc,669 Lei/l,16359,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin 500ml Monini,2612 Lei/buc,5224 Lei/l,9255,Ulei,20171101,m_image.js,v1
Ulei de masline 500ml Delhaize,1999 Lei/buc,3998 Lei/l,13575,Ulei,20171101,m_image.js,v1
Ulei de nuca 250ml Gusturi romanesti,3299 Lei/buc,13196 Lei/l,7577,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin 0.5l Il Grezzo,3598 Lei/buc,7196 Lei/l,24849,Ulei,20171101,m_image.js,v1
Ulei de soia 1l AB,999 Lei/buc,999 Lei/l,84893,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin cu ardei chili 200ml Taste of Inspirations,1899 Lei/buc,9495 Lei/l,43448,Ulei,20171101,m_image.js,v1
Ulei de rapita 500ml Gusturi romanesti,1499 Lei/buc,2998 Lei/l,97577,Ulei,20171101,m_image.js,v1
Ulei Vitality 1l Floriol,785 Lei/buc,785 Lei/l,97751,Ulei,20171101,m_image.js,v1
Ulei de masline pentru carpaccio 200ml Taste of Inspirations,1899 Lei/buc,9495 Lei/l,73031,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin cu lamaie 200ml Taste of Inspirations,1899 Lei/buc,9495 Lei/l,43445,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin spray bio 200ml Mantova,2899 Lei/buc,14495 Lei/l,30187,Ulei,20171101,m_image.js,v1
Ulei de in 250ml Gusturi romanesti,2199 Lei/buc,8796 Lei/l,98589,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin Manzanilla 500ml Duque de la Isla,4499 Lei/buc,8998 Lei/l,10256,Ulei,20171101,m_image.js,v1
Ulei de masline extravirgin Picual 500ml Duque de la Isla,4499 Lei/buc,8998 Lei/l,10254,Ulei,20171101,m_image.js,v1
Zahar Cristal 1kg Margaritar,335 Lei/buc,335 Lei/Kg,49956,Zahar,20171101,m_image.js,v1
Zahar Cristal 1kg Sweet Life,349 Lei/buc,349 Lei/Kg,11867,Zahar,20171101,m_image.js,v1
Zahar brun nerafinat din trestie de zahar 500g Passiflora,449 Lei/buc,898 Lei/Kg,83560,Zahar,20171101,m_image.js,v1
Zahar brun nerafinat cubic din trestie de zahar 300g Passiflora,629 Lei/buc,2097 Lei/Kg,83562,Zahar,20171101,m_image.js,v1
Zahar brut din trestie de zahar 500g Sano Vita,613 Lei/buc,1226 Lei/Kg,9611,Zahar,20171101,m_image.js,v1
Zahar brun din trestie de zahar 500g Margaritar,430 Lei/buc,860 Lei/Kg,16409,Zahar,20171101,m_image.js,v1
Zahar 100% natural 1kg Bod,379 Lei/buc,379 Lei/Kg,13144,Zahar,20171101,m_image.js,v1
Zahar brun de Mauritius Demerara 500g Margaritar,569 Lei/buc,1138 Lei/Kg,67067,Zahar,20171101,m_image.js,v1
Zahar brun stick 400g 365,889 Lei/buc,2222 Lei/Kg,15961,Zahar,20171101,m_image.js,v1
Zahar cubic alb 500g Margaritar,297 Lei/buc,594 Lei/Kg,39162,Zahar,20171101,m_image.js,v1
Zahar Cristal 1kg Sweet Life,329 Lei/buc,329 Lei/Kg,26911,Zahar,20171101,m_image.js,v1
