"","nume","pret","reducere","sortimente","Date","RobotName","RobotVersion","Sortiment","Post_cheltuieli"
"1","Acadea Chupa Chups 1buc","100 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"2","Activ bar cu fibre, ovaz si fructe Rommac 30g","130 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"3","Activ Mix Crocant Orlando's 500g","4949 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"4","Activia de baut acai- fructul pasiunii 320g","302 Lei/bucata",NA,"Lactate",20170803,"carrefour.js","v1",NA,NA
"5","Activia de baut lamaie- rodie 320g","302 Lei/bucata",NA,"Lactate",20170803,"carrefour.js","v1",NA,NA
"6","Adaos universal pentru mancaruri Podravka Vegeta 125g","270 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"7","Adaos universal pentru mancaruri Podravka Vegeta 1kg","1900 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"8","Adaos universal pentru mancaruri Podravka Vegeta 250g","545 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"9","Adaos universal pentru mancaruri Podravka Vegeta Naturella 150g","490 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"10","Adaos universal pentru mancaruri Podravka Vegeta Naturella 75g","295 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"11","Agrise Jasmin 75g","849 Lei/bucata","","Fructe confiate si mixuri",20170803,"carrefour.js","v1",NA,NA
"12","Alge de mare cu butterfish Ocean Fish 200g","679 Lei/bucata","","Peste si fructe de mare",20170803,"carrefour.js","v1",NA,NA
"13","Almette cu ceapa verde Hochland 150g","465 Lei/bucata","","Lactate",20170803,"carrefour.js","v1",NA,NA
"14","Almette cu iaurt Hochland 150g","465 Lei/bucata","","Lactate",20170803,"carrefour.js","v1",NA,NA
"15","Almette cu smantana Hochland 150g","465 Lei/bucata","","Lactate",20170803,"carrefour.js","v1",NA,NA
"16","Almette cu verdeata Hochland 150g","465 Lei/bucata","","Lactate",20170803,"carrefour.js","v1",NA,NA
"17","Alune cu aroma de bacon Mogyi 190g","665 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
