nume,pret,sortimente,Date,RobotName,RobotVersion,Sortiment,Post cheltuieli
Banane,3.49 Lei/kilogram,Fructe,20170803,cora,v1,13903,139
Lamai kg,8.99 Lei/kilogram,Fructe,20170803,cora,v1,13901,139
Nectarine,3.99 Lei/kilogram,Fructe,20170803,cora,v1,13801,129
Piersici,3.49 Lei/kilogram,Fructe,20170803,cora,v1,13402,129
Pepene Verde,0.79 Lei/kilogram,Fructe,20170803,cora,v1,,
Pepene Gallia,1.49 Lei/kilogram,Fructe,20170803,cora,v1,,
Mere Idared kg,3.99 Lei/kilogram,Fructe,20170803,cora,v1,13101,129
Caise,4.99 Lei/kilogram,Fructe,20170803,cora,v1,,
Mere Golden,4.49 Lei/kilogram,Fructe,20170803,cora,v1,13101,129
Lamai plasa 500g,4.99 Lei/buc 9.98 kilogram,Fructe,20170803,cora,v1,,
Portocale,5.69 Lei/kilogram,Fructe,20170803,cora,v1,13902,139
Grapefruit rosu,7.49 Lei/kilogram,Fructe,20170803,cora,v1,13904,139
Struguri albi,7.49 Lei/kilogram,Fructe,20170803,cora,v1,13601,129
Piersici plate kg,6.49 Lei/kilogram,Fructe,20170803,cora,v1,,
Avocado / bucata,5.99 Lei/buc,Fructe,20170803,cora,v1,,
Prune,2.49 Lei/kilogram,Fructe,20170803,cora,v1,13501,129
Portocale 1Kg,4.99 Lei/buc 4.99 kilogram,Fructe,20170803,cora,v1,,
Pere Wiliams/Packham,7.49 Lei/kilogram,Fructe,20170803,cora,v1,,
Afine 200 g,6.99 Lei/buc 34.95 kilogram,Fructe,20170803,cora,v1,,
Pere Carmen la kg,7.99 Lei/kilogram,Fructe,20170803,cora,v1,,
Mere Red Delicious,5.99 Lei/kilogram,Fructe,20170803,cora,v1,,
Kiwi / vrac,10.99 Lei/kilogram,Fructe,20170803,cora,v1,13907,139
Ananas,6.99 Lei/kilogram,Fructe,20170803,cora,v1,14304,143
Mere Granny Smith,5.99 Lei/kilogram,Fructe,20170803,cora,v1,,
Limes kg,18.99 Lei/kilogram,Fructe,20170803,cora,v1,,
Pere Forelle / kg,8.99 Lei/kilogram,Fructe,20170803,cora,v1,,
Mango / bucata,4.99 Lei/buc,Fructe,20170803,cora,v1,,
Mere Golden premium,6.49 Lei/kilogram,Fructe,20170803,cora,v1,,
Rodii,16.99 Lei/kilogram,Fructe,20170803,cora,v1,,
Pepene Gialetti/Honey,2.49 Lei/kilogram,Fructe,20170803,cora,v1,,
Zmeura 250g,7.99 Lei/buc 31.96 kilogram,Fructe,20170803,cora,v1,,
Struguri albi fara samburi,7.49 Lei/kilogram,Fructe,20170803,cora,v1,,
Struguri negri,7.49 Lei/kilogram,Fructe,20170803,cora,v1,,
Pepene piel de sapo,2.49 Lei/kilogram,Fructe,20170803,cora,v1,,
Grapefruit alb kg,7.99 Lei/kilogram,Fructe,20170803,cora,v1,,
Zmeura ecologica 200g,12.49 Lei/buc 62.45 kilogram,Fructe,20170803,cora,v1,,
Smochine Deshidratate Jasmin 200g,8.54 Lei/buc 42.70 kilogram,Fructe,20170803,cora,v1,,
Winny stafide 250g,3.51 Lei/buc 14.04 kilogram,Fructe,20170803,cora,v1,13906,139
Pere Santa Maria / kg,6.99 Lei/kilogram,Fructe,20170803,cora,v1,,
Nuca cocos,2.99 Lei/buc,Fructe,20170803,cora,v1,,
Jasmin curmale500g,9.85 Lei/buc 19.70 kilogram,Fructe,20170803,cora,v1,,
cora stafide 200g,5.09 Lei/buc 25.45 kilogram,Fructe,20170803,cora,v1,,
Banane Eco 1100g,17.99 Lei/buc 16.35 kilogram,Fructe,20170803,cora,v1,,
Curmale fara samburi Jasmin 250g,4.41 Lei/buc 22.05 kilogram,Fructe,20170803,cora,v1,,
Nutline cocktail mix stafide si fructe uscate 150g,10.86 Lei/buc 72.40 kilogram,Fructe,20170803,cora,v1,,
Jasmin merisor indulcit partial deshidratat 250g,8.86 Lei/buc 35.44 kilogram,Fructe,20170803,cora,v1,,
