"","nume","pret_aug","nomenclator","pret_sept","nume_sept","scor_aug_sept","pret_oct","nume_oct","scor_aug_oct","pret_noi","nume_noi","scor_aug_noi"
"1","alune sarate si prajite mogyi 170g",4.49,"alune preambalate, sarate  (punga 100-200 g) ",5.1,"alune sarate si prajite mogyi 170g",101,3.98,"alune sarate si prajite mogyi 170g",101,3.98,"alune sarate si prajite mogyi 170g",101
"2","amestec de legume macedonean bonduelle 400g",6,"amestec de legume congelate  (greens, dujardin) - punga  cca. 450 g",6,"amestec de legume macedonean bonduelle 400g",101,6,"amestec de legume macedonean bonduelle 400g",101,6,"amestec de legume macedonean bonduelle 400g",101
"3","antricot de manzat cu os feliat per kg",28.6,"carne vita, minzat, cu os  (antricot, vrabioare, pulpa) ",28.6,"antricot de manzat cu os feliat per kg",101,28.6,"antricot de manzat cu os feliat per kg",101,28.6,"antricot de manzat cu os feliat per kg",101
"4","ardei gras mixt 500g",6.49,"ardei gras, de sera si solarii  ",6.99,"ardei california mix 500g",76,6.49,"ardei gras semafor 500g (produs ambalat)",86,6.99,"ardei gras mixt 500g",101
"5","aripi de pui gastro agricola per kg",11.49,"aripi de pui, preambalate  ",9.49,"aripi de pui gastro agricola per kg",101,11.49,"aripi de pui gastro agricola per kg",101,11.49,"aripi de pui gastro agricola per kg",101
"6","arpacas atifco 1kg",2.8,"arpacas preambalat  ",11.16,"fasole alba atifco 1kg",75,3.2,"arpacas atifco 1kg",101,3.2,"arpacas atifco 1kg",101
"7","banane",5.55,"banane  ",4.49,"banane",101,4.29,"banane",101,5.99,"banane",101
"8","baza pentru mancaruri cu gust de legume delikat 75g",2.3,"delikat (pachet de 75-80 g)  ",1.85,"baza pentru mancaruri cu gust de legume delikat 75g",101,2.3,"baza pentru mancaruri cu gust de legume delikat 75g",101,2.3,"baza pentru mancaruri cu gust de legume delikat 75g",101
"9","biscuiti cu crema de cacao paradise 70g",0.85,"biscuiti cu crema (70-85 g)  ",0.85,"biscuiti cu crema de cacao paradise 70g",101,0.85,"biscuiti cu crema de cacao paradise 70g",101,0.85,"biscuiti cu crema de cacao paradise 70g",101
"10","biscuiti cu multa crema cacao dobrogea eugenia original 36g",0.79,"biscuiti tip eugenia"" (pachet""  de 25-40 g) ",0.77,"biscuiti cu multa crema cacao dobrogea eugenia original 36g",101,0.79,"biscuiti cu multa crema cacao dobrogea eugenia original 36g",101,0.79,"biscuiti cu multa crema cacao dobrogea eugenia original 36g",101
"11","biscuiti de cacao rostar picnic 75g",1.1,"biscuiti fragezi, dulci, cu  cacao, tip picnic"" (60-85 g)"" ",1.2,"biscuiti de cacao rostar picnic 75g",101,1.05,"biscuiti de cacao rostar picnic 75g",101,1.1,"biscuiti de cacao rostar picnic 75g",101
"12","biscuiti de vanilie rostar picnic 75g",1.1,"biscuiti fragezi, dulci, cu  cacao, tip picnic"" (60-85 g)"" ",1.1,"biscuiti de vanilie rostar picnic 75g",101,1.05,"biscuiti de vanilie rostar picnic 75g",101,1.1,"biscuiti de vanilie rostar picnic 75g",101
"13","biscuiti rostar petit beurre extra 140g",1.9,"biscuiti dulci, tip petit""  beurre (140 g)"" ",1.9,"biscuiti rostar petit beurre extra 140g",101,1.9,"biscuiti rostar petit beurre extra 140g",101,1.9,"biscuiti rostar petit beurre extra 140g",101
"14","blat de tort simplu boromir 400g",9,"blat de tort preambalat, tip  pandispan (200-400 g) ",7.99,"blat de tort simplu boromir 400g",101,9.03,"blat pentru tort simplu 400g boromir",95,9,"blat de tort simplu boromir 400g",101
"15","bomboane asortate laura 140g",3.99,"bomboane de ciocolata la cutie  (150-200 g) ",3.19,"bomboane asortate laura 140g",101,3.99,"bomboane asortate laura 140g",101,3.99,"bomboane asortate laura 140g",101
"16","bomboane gumate cu aroma de fructe sugus 200g",5.79,"bomboane gumate cu aroma de  fructe sugus"" (punga""  200-250 g)",5.75,"bomboane gumate cu aroma de fructe sugus 200g",101,6.1,"bomboane gumate cu aroma de fructe sugus 200g",101,6.1,"bomboane gumate cu aroma de fructe sugus 200g",101
"17","bors olympia 1l",1.99,"bors (sticla sau punga plastic  1 l) ",1.59,"bors olympia 1l",101,1.75,"bors olympia 1l",101,1.75,"bors olympia 1l",101
"18","branza cu smantana fagaras sanlacta 200g",3.12,"brinza cu smintina (pahar  plastic 150-200 g) ",3.12,"branza cu smantana fagaras sanlacta 200g",101,3.3,"branza cu smantana fagaras sanlacta 200g",101,3.3,"branza cu smantana fagaras sanlacta 200g",101
"19","branza de burduf 2 raraul 300g",7.8,"brinza de burduf  ",7.8,"branza de burduf 2 raraul 300g",101,7.6,"branza de burduf 2 raraul 300g",101,9.05,"branza de burduf 2 raraul 300g",101
"20","branza de vaci grasa raraul 200g",4.1,"brinza de vaci, grasa (pachet  de 250 g) ",4.25,"branza de vaci grasa raraul 200g",101,4.3,"branza de vaci grasa raraul 200g",101,4.65,"branza de vaci grasa raraul 200g",101
"21","branza topita cu smantana gordon 125g",2.44,"brinza topita, in forma de  salam sau bloc ",2.13,"branza topita cu smantana gordon 125g",101,2.19,"branza topita cu smantana gordon 125g",101,2.19,"branza topita cu smantana gordon 125g",101
"22","branza topita cu smantana hochland 140g",4.25,"brinza topita, cu adaosuri  (cutie de 140 g) ",3.49,"branza topita cu smantana hochland 140g",101,4.25,"branza topita cu smantana hochland 140g",101,4.24,"branza topita cu smantana hochland 140g",101
"23","branza topita felii cu smantana hochland 140g",4.32,"brinza topita felii (pachet  ambalat in folie plastic)  (140-150 g)",4.3,"branza topita felii cu smantana hochland 140g",101,4.32,"branza topita felii cu smantana hochland 140g",101,4.32,"branza topita felii cu smantana hochland 140g",101
"24","bulion raureni 300g",3.4,"bulion - indigen (borcan de  314-420 ml) ",3.4,"bulion raureni 300g",101,3.6,"bulion raureni 300g",101,3.6,"bulion raureni 300g",101
"25","cacao pudra carrefour 50 g",2.01,"pudra de cacao (punga de 50 g)  ",2.01,"cacao pudra carrefour 50 g",101,2.01,"cacao pudra carrefour 50 g",101,2.01,"cacao pudra carrefour 50 g",101
"26","cafea decofeinizata jacobs kronung 250g",14.8,"cafea decofeinizata (punga de  250 g) ",15.9,"cafea decofeinizata jacobs kronung 250g",101,15.4,"cafea decofeinizata jacobs kronung 250g",101,15.4,"cafea decofeinizata jacobs kronung 250g",101
"27","cafea prajita si macinata doncafe elita 100g",3.7,"cafea naturala macinata (plic  de 100 g) ",3.7,"cafea prajita si macinata doncafe elita 100g",101,3.7,"cafea prajita si macinata doncafe elita 100g",101,3.7,"cafea prajita si macinata doncafe elita 100g",101
"28","cafea solubila nescafe brasero mild 100g",11.5,"cafea solubila (ness) (cutie  de 100 g) ",10.75,"cafea solubila nescafe brasero mild 100g",101,9.99,"cafea solubila nescafe brasero mild 100g",101,9.99,"cafea solubila nescafe brasero mild 100g",101
"29","caramele asortate carrefour 100g",1.09,"caramele cu lapte sau fructe -  vrac ",1.2,"caramele asortate carrefour 100g",101,1.09,"caramele asortate carrefour 100g",101,1.09,"caramele asortate carrefour 100g",101
