"","nume","pret_aug","nomenclator","pret_sept","nume_sept","scor_aug_sept","pret_oct","nume_oct","scor_aug_oct","pret_noi","nume_noi","scor_aug_noi"
"1","alune sarate si prajite mogyi 170g","449 Lei/bucata","alune preambalate, sarate  (punga 100-200 g) ","510 Lei/bucata","alune sarate si prajite mogyi 170g",101,"398 Lei/bucata","alune sarate si prajite mogyi 170g",101,"398 Lei/bucata","alune sarate si prajite mogyi 170g",101
"2","amestec de legume macedonean bonduelle 400g","600 Lei/bucata","amestec de legume congelate  (greens, dujardin) - punga  cca. 450 g","600 Lei/bucata","amestec de legume macedonean bonduelle 400g",101,"600 Lei/bucata","amestec de legume macedonean bonduelle 400g",101,"600 Lei/bucata","amestec de legume macedonean bonduelle 400g",101
"3","antricot de manzat cu os feliat per kg","2860 Lei/kg","carne vita, minzat, cu os  (antricot, vrabioare, pulpa) ","2860 Lei/kg","antricot de manzat cu os feliat per kg",101,"2860 Lei/kg","antricot de manzat cu os feliat per kg",101,"2860 Lei/kg","antricot de manzat cu os feliat per kg",101
"4","ardei gras mixt 500g","649 Lei/bucata","ardei gras, de sera si solarii  ","6.99 Lei/buc 6.99 kilogram","ardei california mix 500g",76,"649 Lei/buc","ardei gras semafor 500g (produs ambalat)",86,"699 Lei/bucata","ardei gras mixt 500g",101
"5","aripi de pui gastro agricola per kg","1149 Lei/kg","aripi de pui, preambalate  ","949 Lei/kg","aripi de pui gastro agricola per kg",101,"1149 Lei/kg","aripi de pui gastro agricola per kg",101,"1149 Lei/kg","aripi de pui gastro agricola per kg",101
"6","arpacas atifco 1kg","280 Lei/bucata","arpacas preambalat  ","1116 Lei/bucata","fasole alba atifco 1kg",75,"320 Lei/bucata","arpacas atifco 1kg",101,"320 Lei/bucata","arpacas atifco 1kg",101
"7","banane","555 Lei/kg","banane  ","4.49 Lei/kilogram","banane",101,"4.29 Lei/kilogram","banane",101,"599 Lei/kg","banane",101
"8","baza pentru mancaruri cu gust de legume delikat 75g","230 Lei/bucata","delikat (pachet de 75-80 g)  ","185 Lei/bucata","baza pentru mancaruri cu gust de legume delikat 75g",101,"230 Lei/bucata","baza pentru mancaruri cu gust de legume delikat 75g",101,"230 Lei/bucata","baza pentru mancaruri cu gust de legume delikat 75g",101
"9","biscuiti cu crema de cacao paradise 70g","085 Lei/bucata","biscuiti cu crema (70-85 g)  ","085 Lei/bucata","biscuiti cu crema de cacao paradise 70g",101,"085 Lei/bucata","biscuiti cu crema de cacao paradise 70g",101,"085 Lei/bucata","biscuiti cu crema de cacao paradise 70g",101
"10","biscuiti cu multa crema cacao dobrogea eugenia original 36g","079 Lei/bucata","biscuiti tip eugenia"" (pachet""  de 25-40 g) ","077 Lei/bucata","biscuiti cu multa crema cacao dobrogea eugenia original 36g",101,"079 Lei/bucata","biscuiti cu multa crema cacao dobrogea eugenia original 36g",101,"079 Lei/bucata","biscuiti cu multa crema cacao dobrogea eugenia original 36g",101
"11","biscuiti de cacao rostar picnic 75g","110 Lei/bucata","biscuiti fragezi, dulci, cu  cacao, tip picnic"" (60-85 g)"" ","120 Lei/bucata","biscuiti de cacao rostar picnic 75g",101,"105 Lei/bucata","biscuiti de cacao rostar picnic 75g",101,"110 Lei/bucata","biscuiti de cacao rostar picnic 75g",101
"12","biscuiti de vanilie rostar picnic 75g","110 Lei/bucata","biscuiti fragezi, dulci, cu  cacao, tip picnic"" (60-85 g)"" ","110 Lei/bucata","biscuiti de vanilie rostar picnic 75g",101,"105 Lei/bucata","biscuiti de vanilie rostar picnic 75g",101,"110 Lei/bucata","biscuiti de vanilie rostar picnic 75g",101
"13","biscuiti rostar petit beurre extra 140g","190 Lei/bucata","biscuiti dulci, tip petit""  beurre (140 g)"" ","190 Lei/bucata","biscuiti rostar petit beurre extra 140g",101,"190 Lei/bucata","biscuiti rostar petit beurre extra 140g",101,"190 Lei/bucata","biscuiti rostar petit beurre extra 140g",101
"14","blat de tort simplu boromir 400g","900 Lei/bucata","blat de tort preambalat, tip  pandispan (200-400 g) ","799 Lei/bucata","blat de tort simplu boromir 400g",101,"903 Lei/buc","blat pentru tort simplu 400g boromir",95,"900 Lei/bucata","blat de tort simplu boromir 400g",101
"15","bomboane asortate laura 140g","399 Lei/bucata","bomboane de ciocolata la cutie  (150-200 g) ","319 Lei/bucata","bomboane asortate laura 140g",101,"399 Lei/bucata","bomboane asortate laura 140g",101,"399 Lei/bucata","bomboane asortate laura 140g",101
"16","bomboane gumate cu aroma de fructe sugus 200g","579 Lei/bucata","bomboane gumate cu aroma de  fructe sugus"" (punga""  200-250 g)","575 Lei/bucata","bomboane gumate cu aroma de fructe sugus 200g",101,"610 Lei/bucata","bomboane gumate cu aroma de fructe sugus 200g",101,"610 Lei/bucata","bomboane gumate cu aroma de fructe sugus 200g",101
"17","bors olympia 1l","199 Lei/bucata","bors (sticla sau punga plastic  1 l) ","159 Lei/bucata","bors olympia 1l",101,"175 Lei/bucata","bors olympia 1l",101,"175 Lei/bucata","bors olympia 1l",101
"18","branza cu smantana fagaras sanlacta 200g","312 Lei/bucata","brinza cu smintina (pahar  plastic 150-200 g) ","312 Lei/bucata","branza cu smantana fagaras sanlacta 200g",101,"330 Lei/bucata","branza cu smantana fagaras sanlacta 200g",101,"330 Lei/bucata","branza cu smantana fagaras sanlacta 200g",101
"19","branza de burduf 2 raraul 300g","780 Lei/bucata","brinza de burduf  ","780 Lei/bucata","branza de burduf 2 raraul 300g",101,"760 Lei/bucata","branza de burduf 2 raraul 300g",101,"905 Lei/bucata","branza de burduf 2 raraul 300g",101
"20","branza de vaci grasa raraul 200g","410 Lei/bucata","brinza de vaci, grasa (pachet  de 250 g) ","425 Lei/bucata","branza de vaci grasa raraul 200g",101,"430 Lei/bucata","branza de vaci grasa raraul 200g",101,"465 Lei/bucata","branza de vaci grasa raraul 200g",101
"21","branza topita cu smantana gordon 125g","244 Lei/bucata","brinza topita, in forma de  salam sau bloc ","213 Lei/bucata","branza topita cu smantana gordon 125g",101,"219 Lei/bucata","branza topita cu smantana gordon 125g",101,"219 Lei/bucata","branza topita cu smantana gordon 125g",101
"22","branza topita cu smantana hochland 140g","425 Lei/bucata","brinza topita, cu adaosuri  (cutie de 140 g) ","349 Lei/bucata","branza topita cu smantana hochland 140g",101,"425 Lei/bucata","branza topita cu smantana hochland 140g",101,"424 Lei/bucata","branza topita cu smantana hochland 140g",101
"23","branza topita felii cu smantana hochland 140g","432 Lei/bucata","brinza topita felii (pachet  ambalat in folie plastic)  (140-150 g)","430 Lei/bucata","branza topita felii cu smantana hochland 140g",101,"432 Lei/bucata","branza topita felii cu smantana hochland 140g",101,"432 Lei/bucata","branza topita felii cu smantana hochland 140g",101
"24","bulion raureni 300g","340 Lei/bucata","bulion - indigen (borcan de  314-420 ml) ","340 Lei/bucata","bulion raureni 300g",101,"360 Lei/bucata","bulion raureni 300g",101,"360 Lei/bucata","bulion raureni 300g",101
"25","cacao pudra carrefour 50 g","201 Lei/bucata","pudra de cacao (punga de 50 g)  ","201 Lei/bucata","cacao pudra carrefour 50 g",101,"201 Lei/bucata","cacao pudra carrefour 50 g",101,"201 Lei/bucata","cacao pudra carrefour 50 g",101
"26","cafea decofeinizata jacobs kronung 250g","1480 Lei/bucata","cafea decofeinizata (punga de  250 g) ","1590 Lei/bucata","cafea decofeinizata jacobs kronung 250g",101,"1540 Lei/bucata","cafea decofeinizata jacobs kronung 250g",101,"1540 Lei/bucata","cafea decofeinizata jacobs kronung 250g",101
"27","cafea prajita si macinata doncafe elita 100g","370 Lei/bucata","cafea naturala macinata (plic  de 100 g) ","370 Lei/bucata","cafea prajita si macinata doncafe elita 100g",101,"370 Lei/bucata","cafea prajita si macinata doncafe elita 100g",101,"370 Lei/bucata","cafea prajita si macinata doncafe elita 100g",101
"28","cafea solubila nescafe brasero mild 100g","1150 Lei/bucata","cafea solubila (ness) (cutie  de 100 g) ","1075 Lei/bucata","cafea solubila nescafe brasero mild 100g",101,"999 Lei/bucata","cafea solubila nescafe brasero mild 100g",101,"999 Lei/bucata","cafea solubila nescafe brasero mild 100g",101
"29","caramele asortate carrefour 100g","109 Lei/bucata","caramele cu lapte sau fructe -  vrac ","120 Lei/bucata","caramele asortate carrefour 100g",101,"109 Lei/bucata","caramele asortate carrefour 100g",101,"109 Lei/bucata","caramele asortate carrefour 100g",101
"30","carnati cabanos angst 280g","799 Lei/bucata","cirnati cabanos  ","705 Lei/bucata","carnati cabanos angst  280g",100,"799 Lei/bucata","carnati cabanos angst 280g",101,"799 Lei/bucata","carnati cabanos angst 280g",101
"31","carnati porc grosi per kg","1199 Lei/kg","cirnati proaspeti  ","1199 Lei/kg","carnati porc grosi per kg",101,"1399 Lei/kg","carnati porc grosi per kg",101,"1399 Lei/kg","carnati porc grosi per kg",101
"32","carnati porc subtiri per kg","1299 Lei/kg","cirnati proaspeti  ","1599 Lei/kg","carnati porc subtiri per kg",101,"1599 Lei/kg","carnati porc subtiri per kg",101,"1599 Lei/kg","carnati porc subtiri per kg",101
"33","carnati semiafumati meda 250g","795 Lei/bucata","cirnati de casa, semiafumati  ","715 Lei/bucata","carnati semiafumati meda 250g",101,"849 Lei/bucata","carnati semiafumati meda 250g",101,"849 Lei/bucata","carnati semiafumati meda 250g",101
"34","carne in suc propriu de porc carrefour 300g","615 Lei/bucata","carne porc, in suc propriu  (cutie de 300 g) ","615 Lei/bucata","carne in suc propriu de porc carrefour 300g",101,"615 Lei/bucata","carne in suc propriu de porc carrefour 300g",101,"615 Lei/bucata","carne in suc propriu de porc carrefour 300g",101
