"","codp","cods","tipc","tip","um","fum","ecran","per","denumire"
"1",103,NA,1,NA,""," ","","3","FAINA  "
"2",103,10301,1,NA,"    KG"," ","A1","3","FAINA ALBA (TIP 650) -  PREAMBALATA "
"3",103,10302,1,NA,"    KG"," ","A1","3","FAINA ALBA SUPERIOARA (480 TIP  000) - PREAMBALATA "
"4",104,NA,1,NA,""," ","","3","MALAI  "
"5",104,10402,1,NA,"    KG"," ","A1","3","MALAI EXTRA INDIGEN -  PREAMBALAT "
"6",105,NA,1,NA,""," ","","3","PIINE  "
"7",105,10501,1,NA,"    KG","1","A2","3","PIINE ALBA SIMPLA  "
"8",105,10502,1,NA,"    KG","1","A2","3","PIINE ALBA, FORMAT BAGHETA  "
"9",105,10503,1,NA,"    KG","1","A2","3","PIINE NEAGRA SIMPLA, FORMAT  ROTUND, OVAL SAU LUNG "
"10",105,10504,1,NA,"    KG","1","A2","3","PIINE ALBA, ACLORIDA (FARA  SARE) "
"11",105,10505,1,NA,"    KG","1","A2","3","PIINE GRAHAM  "
"12",105,10506,1,NA,"    KG","1","A2","3","PIINE ALBA DE CALITATE SUPERI-  OARA, CU AMELIORATORI "
"13",105,10507,1,NA,"    KG","1","A2","3","PIINE FELIATA (PACHET CELOFAN)  "
"14",105,10508,1,NA,"    KG","1","A2","3","PIINE DIN FAINURI SPECIALE -  PREAMBALATA "
"15",105,10509,1,NA,"    KG","1","A2","3","PIINE SEMIALBA (INTERMEDIARA,  INTEGRALA) "
"16",105,10510,1,NA,"    KG","1","A2","3","PIINE ALBA CU CARTOFI  "
"17",106,NA,1,NA,""," ","","3","PRODUSE DE FRANZELARIE  "
"18",106,10601,1,NA,"  BUCATA","1","A2","3","BATOANE (80-100 G)  "
"19",106,10602,1,NA,"  BUCATA","1","A2","3","CHIFLE SIMPLE, DIN FAINA ALBA  (50-100 G) "
"20",106,10604,1,NA,"  BUCATA","1","A2","3","CORNURI (80-100 G)  "
"21",106,10605,1,NA,"  BUCATA","1","A2","3","COVRIGI CU SARE SI MAC  (CCA. 50-100 G) "
"22",107,NA,1,NA,""," ","","3","BISCUITI  "
"23",107,10701,1,NA,"    KG"," ","A14","3","BISCUITI SIMPLI - VRAC  "
"24",107,10702,1,NA,"    KG"," ","A14","3","BISCUITI TIP MIRELA"" - VRAC""  "
"25",107,10704,1,NA,"  PACHET","1","A3","3","BISCUITI FRAGEZI, DULCI, CU  CACAO, TIP PICNIC"" (60-85 G)"" "
"26",107,10705,1,NA,"  PACHET","1","A3","3","BISCUITI TIP EUGENIA"" (PACHET""  DE 25-40 G) "
"27",107,10707,1,NA,"  PACHET","2","A3","3","BISCUITI CU CREMA (70-85 G)  "
"28",107,10708,1,NA,"  PACHET","2","A3","3","BISCUITI DULCI, TIP PETIT""  BEURRE (140 G)"" "
"29",107,10709,1,NA,"    KG"," ","A14","3","BISCUITI SALATINI""""  "
"30",107,10710,1,NA,"    KG"," ","A14","3","BISCUITI DIGESTIVI - VRAC  "
"31",108,NA,1,NA,""," ","","3","SPECIALITATI DE PANIFICATIE  "
"32",108,10804,1,NA,"  PACHET","1","A3","3","FOI DE PLACINTA (PACHET DE  350-500 G) "
"33",108,10807,1,NA,"  BUCATA","1","A3","3","COZONAC CU DIFERITE UMPLUTURI  (400-800 G) "
"34",108,10808,1,NA,"    KG"," ","A14","3","MINIPATEURI CU DIFERITE  UMPLUTURI "
"35",108,10809,1,NA,"  BUCATA","1","A14","3","STRUDEL (CU MERE SAU BRINZA)  (70-100 G) "
"36",108,10810,1,NA,"  PACHET","1","A3","3","BLAT PIZZA - PACHET 250-400 G  "
"37",108,10811,1,NA,"   PUNGA","1","A3","3","SARATELE (AMBALATE IN PUNGI)  (100-125 G) "
"38",108,10812,1,NA,"  BUCATA","1","A3","3","CHEC (CACAO, STAFIDE)  (200-500 G) "
"39",108,10813,1,NA,"  BUCATA","1","A3","3","COZONAC DE POST, CU RAHAT  (400-800 G) "
"40",108,10814,1,NA,"  BUCATA","1","A3","3","BLAT DE TORT PREAMBALAT, TIP  PANDISPAN (200-400 G) "
"41",108,10815,1,NA,"    KG"," ","A2","3","COVRIGEI CU SARE,MAC SAU SUSAN  "
